condition,model,day,threshold,net_benefit,treat_all,treat_none,ci_lower,ci_upper,n,bootstrap_resamples,treat_all_ci_lower,treat_all_ci_upper
Inductive,Joint,365,0.35,-0.04221477844358388,-0.3779856936933927,0.0,-0.07412350056532108,-0.008059259066343409,211,2000,,
Inductive,Joint,365,0.4,-0.012670138223679812,-0.49281783483450875,0.0,-0.03742119296831469,0.014244691642776442,211,2000,,
Inductive,Joint,365,0.45,0.0012421596492880635,-0.6285285470921911,0.0,-0.01658163171560842,0.02008848105784929,211,2000,,
Inductive,Joint,365,0.5,0.0,-0.79138140180141,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.55,0.0,-0.9904237797793447,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.6,0.0,-1.2392267522517622,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.65,0.0,-1.5591162882877285,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.7,0.0,-1.9856356696690156,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.75,0.0,-2.582762803602819,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.8,0.0,-3.4784535045035243,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.85,0.0,-4.97127133933803,0.0,0.0,0.0,211,2000,,
Inductive,Joint,365,0.9,0.0,-7.956907009007047,0.0,0.0,0.0,211,2000,,
Inductive,Joint,730,0.05,0.13986152921776068,0.13986152921776068,0.0,0.08617488468716533,0.19841003748029834,211,2000,,
Inductive,Joint,730,0.1,0.09207605861874742,0.09207605861874742,0.0,0.035406822725341236,0.15387726178475938,211,2000,,
Inductive,Joint,730,0.15,0.03866876794926201,0.03866876794926201,0.0,-0.021333952408462198,0.10410533600739229,211,2000,,
Inductive,Joint,730,0.2,-0.021414434053909068,-0.021414434053909068,0.0,-0.08516732443399101,0.04811191950785435,211,2000,,
Inductive,Joint,730,0.25,-0.0924322182676315,-0.08950872965750295,0.0,-0.16061218938617747,-0.018652068543055206,211,2000,,
Inductive,Joint,730,0.3,-0.1755216208350727,-0.167330781775896,0.0,-0.24547448001334884,-0.09732553389815593,211,2000,,
Inductive,Joint,730,0.35,-0.23125418277524493,-0.25712545729711866,0.0,-0.3055413541133257,-0.14844684484301984,211,2000,,
Inductive,Joint,730,0.4,-0.33185709902416183,-0.36188591207187865,0.0,-0.40833467311488547,-0.24968287503681552,211,2000,,
Inductive,Joint,730,0.45,-0.4078306371210334,-0.4856937222602311,0.0,-0.48796334223597704,-0.32418364512689385,211,2000,,
